Split group,AGFV feature,Feature index,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Mean signed probability change,Feature ablation score
Validation,AGFV017,16,0.9247654018767849,0.9261525907792737,-0.0013871889024887896,0.850999592003264,0.8457364341085272,0.0052631578947368585,0.8571428571428571,0.8526785714285714,0.004464285714285698,0.8279569892473119,0.8216216216216217,0.0063353676256902025,0.0004110948648303747,-0.0002824142575263977,0.003917078478731106
Test,AGFV017,16,0.8859514170040484,0.8907692307692308,-0.0048178137651823105,0.8283400809716599,0.8336032388663968,-0.0052631578947368585,0.8311111111111111,0.8355555555555556,-0.004444444444444473,0.8020833333333334,0.8082901554404145,-0.0062068221070811225,0.0004882480716332793,-0.00045602713362313807,-0.01003214685275584
Heldout,AGFV017,16,0.9048465758992075,0.9078947368421052,-0.0030481609428977263,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.00044975741184316576,-0.00036941401776857674,-0.0030031852017134097
All,AGFV017,16,0.9774329597253476,0.9784904939126421,-0.0010575341872944843,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.00020325563673395663,-0.00017238287546206266,-0.0010372086236210888
Train,AGFV018,17,0.9990490054791915,0.9990672938353609,-1.8288356169349207e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00021194842702243477,8.229480590671301e-05,2.90648653289427e-06
Validation,AGFV018,17,0.9247654018767849,0.9238678090575275,0.0008975928192573868,0.850999592003264,0.850999592003264,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8279569892473119,0.8279569892473119,0.0,0.0009627508698031306,0.0004672988143283874,0.0009938679062376997
Test,AGFV018,17,0.8859514170040484,0.8871255060728745,-0.0011740890688261008,0.8283400809716599,0.8283400809716599,0.0,0.8311111111111111,0.8311111111111111,0.0,0.8020833333333334,0.8020833333333334,0.0,0.000826230039820075,0.000636780634522438,-0.0010914660648440933
Heldout,AGFV018,17,0.9048465758992075,0.9049583418004471,-0.00011176590123962438,0.8396260922576713,0.8396260922576713,0.0,0.844097995545657,0.844097995545657,0.0,0.8148148148148148,0.8148148148148148,0.0,0.0008943384164012969,0.0005522284773178399,-2.233205959949468e-05
All,AGFV018,17,0.9774329597253476,0.977169703133114,0.000263256592233585,0.9502697478506722,0.9502697478506722,0.0,0.9515915119363395,0.9515915119363395,0.0,0.9425649095200629,0.9425649095200629,0.0,0.0004151269095018506,0.00022221538529265672,0.00030476928318377003
Train,AGFV019,18,0.9990490054791915,0.9989904827394495,5.852273974205069e-05,0.9972476023965062,0.9972476023965062,0.0,0.9971671388101983,0.9971671388101983,0.0,0.9966405375139977,0.9966405375139977,0.0,0.00012379736290313303,-7.654922228539363e-05,7.090247603236399e-05
