Region label,Region name,hemisphere,RSN,Region ablation score,Delta AUC,Delta balanced accuracy,Mean absolute probability change,Mean AGFV absolute change,Max Region-AGFV-gene score,Mean top-50 Region-AGFV-gene score,Top linked AGFV features,Top linked genes
252,CC_Mid_Posterior,,,0.0067791750075394,0.0002771618625276,0.0,0.0022052603719745,0.0037442665851918,1.0484549680154884,0.9654130238874329,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
254,CC_Mid_Anterior,,,0.0066066039397829,0.0012472283813746,0.0,0.0015653793182923,0.0037939962401158,1.047918852273508,0.9653995010492871,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
2026,ctx-rh-rostralanteriorcingulate,R,Default Mode Network,0.0064670456987851,0.0003541512687853,0.0005235279625523,0.0019315453567825,0.0031053349228195,1.0461758792461817,0.9638343506793521,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; PXN; NCF4; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
52,Right-Pallidum,R,Subcortical,0.00621495104138,-1.53978812515998e-05,-0.0030487804878048,0.0032138235375635,0.0057890627789504,1.049487081204852,0.9670384370843262,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
85,Optic-Chiasm,,,0.005482321206754,-0.0007852919438285,0.0,0.0022721770836956,0.0034429498790417,1.0433536812508546,0.9610901950440688,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; PXN; NCF4; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
1032,ctx-lh-frontalpole,L,Limbic system,0.0054642524557809,-0.0014935944813994,0.0005235279625523,0.0018692898708112,0.0040125429159714,1.0443608973605414,0.961313185349142,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; PXN; FAM53C; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
1001,ctx-lh-bankssts,L,Default Mode Network,0.0052256026697248,-0.0024636610002464,-0.0035723084503572,0.0033482268390899,0.0070846159994706,1.0487737046506234,0.9660990314823605,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; FAM53C; PXN; MAP3K3; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
2018,ctx-rh-parsopercularis,R,Fronto-Parietal,0.004770727949321,0.000261763981276,0.0,0.0015386953160104,0.0029702686520344,1.040556662759795,0.9587377559266091,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PYGL; PDLIM7; PXN; NCF4; MAP3K3; FAM53C; STAT5B; REPS2; GLT1D1; RASGRP4; CD63; DYSF
2027,ctx-rh-rostralmiddlefrontal,R,Fronto-Parietal,0.0047556161024821,-0.0027870165065287,-0.0055740330130573,0.0033728745084214,0.0091913049258015,1.0492470182724971,0.9663744371528756,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV118; AGFV126; AGFV025; AGFV121; AGFV018,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; NCF4; FAM53C; MAP3K3; PXN; STAT5B; REPS2; GLT1D1; RASGRP4; DYSF; CD63
80,non-WM-hypointensities,,,0.0041216972412305,0.0001077851687607,0.0030487804878048,0.0002473288033034,0.0004415596874388,1.0349490984070544,0.9534656216631945,AGFV091; AGFV120; AGFV014; AGFV078; AGFV072; AGFV051; AGFV094; AGFV019; AGFV057; AGFV054; AGFV126; AGFV118; AGFV025; AGFV018; AGFV121,OSBPL2; PILRA; DOK3; PDLIM7; PYGL; PXN; NCF4; MAP3K3; STAT5B; FAM53C; REPS2; CD63; GLT1D1; RASGRP4; DYSF
