Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,AGFV feature,Mean absolute AGFV feature change,Mean signed AGFV feature change,MNI.x,MNI.y,MNI.z
4,Left-Lateral-Ventricle,,,,,,AGFV017,0.0385642102739429,-0.01874199394363066,,,
4,Left-Lateral-Ventricle,,,,,,AGFV018,0.023436636802899903,-0.006916436124901745,,,
4,Left-Lateral-Ventricle,,,,,,AGFV019,0.03240690889217741,0.013628026578595954,,,
4,Left-Lateral-Ventricle,,,,,,AGFV020,0.04147548354050731,0.02159180263705675,,,
4,Left-Lateral-Ventricle,,,,,,AGFV021,0.026449619375622076,0.007889869952193611,,,
4,Left-Lateral-Ventricle,,,,,,AGFV022,0.02889066257447169,0.01057541570034475,,,
4,Left-Lateral-Ventricle,,,,,,AGFV023,0.03308293634758058,0.020807419813531375,,,
4,Left-Lateral-Ventricle,,,,,,AGFV024,0.05647537746152825,0.01877555539265522,,,
4,Left-Lateral-Ventricle,,,,,,AGFV025,0.02601949168749936,-0.011504528951414383,,,
4,Left-Lateral-Ventricle,,,,,,AGFV026,0.04156619314495371,-0.028172176640007377,,,
4,Left-Lateral-Ventricle,,,,,,AGFV027,0.036846301327999785,-0.0004562134056954094,,,
4,Left-Lateral-Ventricle,,,,,,AGFV028,0.027677248422447488,-0.0017922215204871162,,,
4,Left-Lateral-Ventricle,,,,,,AGFV029,0.01949496122684268,0.001627718875421345,,,
4,Left-Lateral-Ventricle,,,,,,AGFV030,0.026476075306781748,-0.014579734420249475,,,
4,Left-Lateral-Ventricle,,,,,,AGFV031,0.07994816653965586,-0.05071382010509955,,,
4,Left-Lateral-Ventricle,,,,,,AGFV032,0.026382221938085162,-0.01608695290488762,,,
4,Left-Lateral-Ventricle,,,,,,AGFV033,0.025103853717034694,-0.007653960371544348,,,
4,Left-Lateral-Ventricle,,,,,,AGFV034,0.06332419051155859,0.02875698061443824,,,
4,Left-Lateral-Ventricle,,,,,,AGFV035,0.021856130651347543,-0.008395454007617676,,,
4,Left-Lateral-Ventricle,,,,,,AGFV036,0.044464850993775534,-0.016621486216948176,,,
4,Left-Lateral-Ventricle,,,,,,AGFV037,0.036311744110278,0.015288519791394308,,,
4,Left-Lateral-Ventricle,,,,,,AGFV038,0.03581162665595007,0.01275331214152647,,,
4,Left-Lateral-Ventricle,,,,,,AGFV039,0.030769028057709584,-0.005239223577699609,,,
4,Left-Lateral-Ventricle,,,,,,AGFV040,0.04553363533968425,-0.02615711372860229,,,
4,Left-Lateral-Ventricle,,,,,,AGFV041,0.036443790019546424,0.01619139461886158,,,
4,Left-Lateral-Ventricle,,,,,,AGFV042,0.020458004756403563,0.0013261850233812359,,,
4,Left-Lateral-Ventricle,,,,,,AGFV043,0.03829154158165442,0.0034454771991592743,,,
4,Left-Lateral-Ventricle,,,,,,AGFV044,0.01837700577864413,-0.006688812719297837,,,
4,Left-Lateral-Ventricle,,,,,,AGFV045,0.03690615809363061,0.021513059061247012,,,
4,Left-Lateral-Ventricle,,,,,,AGFV046,0.027599846954503772,0.007364922959501572,,,
4,Left-Lateral-Ventricle,,,,,,AGFV047,0.03875253041331445,0.01756399930120338,,,
4,Left-Lateral-Ventricle,,,,,,AGFV048,0.02175514938217171,0.0034849850244778953,,,
4,Left-Lateral-Ventricle,,,,,,AGFV049,0.04712828213750328,0.030545125741161694,,,
4,Left-Lateral-Ventricle,,,,,,AGFV050,0.028700230344718334,0.007600179178774027,,,
4,Left-Lateral-Ventricle,,,,,,AGFV051,0.051076301924102216,-0.008947253350724172,,,
4,Left-Lateral-Ventricle,,,,,,AGFV052,0.06391500611660889,-0.02490376973349745,,,
4,Left-Lateral-Ventricle,,,,,,AGFV053,0.05413002953015638,0.019958873500646148,,,
4,Left-Lateral-Ventricle,,,,,,AGFV054,0.03667689357673266,-0.01180820319369353,,,
4,Left-Lateral-Ventricle,,,,,,AGFV055,0.025780627596608843,0.008993419576745007,,,
4,Left-Lateral-Ventricle,,,,,,AGFV056,0.033883439984110836,0.008515210400299473,,,
4,Left-Lateral-Ventricle,,,,,,AGFV057,0.029896703852309706,0.013169535265937036,,,
4,Left-Lateral-Ventricle,,,,,,AGFV058,0.03346550431699384,0.012503204013102622,,,
4,Left-Lateral-Ventricle,,,,,,AGFV059,0.018086903239728995,-0.010247751350066938,,,
4,Left-Lateral-Ventricle,,,,,,AGFV060,0.025521506756050152,-0.006686277811039877,,,
4,Left-Lateral-Ventricle,,,,,,AGFV061,0.02642674211062779,-0.018212652296980443,,,
4,Left-Lateral-Ventricle,,,,,,AGFV062,0.05865618321036107,-0.014263151697197014,,,
4,Left-Lateral-Ventricle,,,,,,AGFV063,0.03911647760407042,0.0032219750940470407,,,
4,Left-Lateral-Ventricle,,,,,,AGFV064,0.02386184995839609,0.0017884514032147866,,,
4,Left-Lateral-Ventricle,,,,,,AGFV065,0.04189509700839691,-0.01962994174898,,,
4,Left-Lateral-Ventricle,,,,,,AGFV066,0.036044541849286516,-0.01504844381828993,,,
4,Left-Lateral-Ventricle,,,,,,AGFV067,0.025599106595702265,0.01661162708695587,,,
4,Left-Lateral-Ventricle,,,,,,AGFV068,0.05580419050889779,-0.03312423598865119,,,
4,Left-Lateral-Ventricle,,,,,,AGFV069,0.029271883787124198,-0.008246413097608814,,,
