Split group,Region label,Region name,hemisphere,acronyms,subcortex,RSN,BraakStage,"Subjects, n",Mean mask voxels in 64^3,Baseline AUC,Ablated AUC,Delta AUC,Baseline balanced accuracy,Ablated balanced accuracy,Delta balanced accuracy,Baseline accuracy,Ablated accuracy,Delta accuracy,Baseline F1,Ablated F1,Delta F1,Mean absolute probability change,Median absolute probability change,Mean signed probability change,"Prediction changed, n","Prediction changed, fraction",Mean AGFV L2 change,Mean AGFV absolute change,Mean top AGFV absolute delta,MNI.x,MNI.y,MNI.z,Region ablation score
Heldout,63,Right-choroid-plexus,,,,,,362,91.0,0.9060267307218526,0.9089985218033999,-0.002971791081547326,0.8276361172702636,0.8210150283321015,0.006621088938162156,0.8314917127071824,0.8259668508287292,0.005524861878453136,0.8087774294670846,0.8,0.008777429467084596,0.008200205660564053,2.8625130653381348e-05,0.004340531663372289,6,0.016574585635359115,0.21810119375502895,0.015798765611953813,0.04907553180928718,,,,0.029305727692668607
Validation,63,Right-choroid-plexus,,,,,,181,91.0,0.9307711258930772,0.9356984478935699,-0.004927322000492729,0.8397388519339739,0.8264966740576496,0.013242177876324313,0.8453038674033149,0.8342541436464088,0.011049723756906049,0.8205128205128205,0.8026315789473685,0.01788124156545201,0.007289392606082542,2.6047229766845703e-05,0.005977577452666193,4,0.022099447513812154,0.20041749476666115,0.014521898371032413,0.04461520772365575,,,,0.03233609160432775
Test,63,Right-choroid-plexus,,,,,,181,91.0,0.8814363143631436,0.882729736388273,-0.001293422025129387,0.8155333826065534,0.8155333826065534,0.0,0.8176795580110497,0.8176795580110497,0.0,0.7975460122699386,0.7975460122699386,0.0,0.009111018715045565,3.159046173095703e-05,0.002703485874078386,2,0.011049723756906077,0.23578489274339678,0.017075632852875212,0.0535358558949186,,,,0.025998201918481997
Heldout,77,WM-hypointensities,,,,,,362,203.0,0.9060267307218526,0.9030549396403054,0.002971791081547215,0.8276361172702636,0.8256343927075634,0.0020017245627002023,0.8314917127071824,0.8287292817679558,0.002762430939226568,0.8087774294670846,0.8074534161490683,0.0013240133180163483,0.008101834070441719,2.0503299310803413e-05,-0.0056470962439391,5,0.013812154696132596,0.19875559735675316,0.014356840549014992,0.04483424798065786,,,,0.028813405733317386
Validation,77,WM-hypointensities,,,,,,181,203.0,0.9307711258930772,0.9232569598423256,0.007514166050751614,0.8397388519339739,0.8407859078590786,-0.0010470559251046785,0.8453038674033149,0.8453038674033149,0.0,0.8205128205128205,0.8227848101265823,-0.002271989613761849,0.007963900024699077,1.537799835205078e-05,-0.007013265967101517,2,0.011049723756906077,0.20500782399067852,0.014825191488843257,0.04614112322419388,,,,0.03036117401487988
Test,77,WM-hypointensities,,,,,,181,203.0,0.8814363143631436,0.8823601872382361,-0.0009238728750924352,0.8155333826065534,0.8104828775560483,0.005050505050505083,0.8176795580110497,0.8121546961325967,0.0055248618784530246,0.7975460122699386,0.7926829268292683,0.004863085440670267,0.00823976811618436,2.7060508728027344e-05,-0.004280926520776683,3,0.016574585635359115,0.19250337072282783,0.013888489609186727,0.043527372737121844,,,,0.02791234846431965
Heldout,80,non-WM-hypointensities,,,,,,362,1.0,0.9060267307218526,0.9059189455530918,0.0001077851687607545,0.8276361172702636,0.8245873367824588,0.0030487804878048808,0.8314917127071824,0.8287292817679558,0.002762430939226568,0.8087774294670846,0.8050314465408805,0.0037459829262040945,0.0002473288033034097,5.960464477539062e-07,-3.145565536099573e-05,1,0.0027624309392265192,0.006132504142757794,0.0004415596874388326,0.0013996367214134384,,,,0.004121697241230529
Validation,80,non-WM-hypointensities,,,,,,181,1.0,0.9307711258930772,0.9308943089430894,-0.00012318305001224328,0.8397388519339739,0.8336412909583641,0.0060975609756097615,0.8453038674033149,0.8397790055248618,0.0055248618784530246,0.8205128205128205,0.8129032258064516,0.007609594706368905,0.00029939162745577856,4.76837158203125e-07,1.2426572795236966e-05,1,0.0055248618784530384,0.006382024534285752,0.0004599511161741147,0.0014449880556177699,,,,0.007286206857072716
Test,80,non-WM-hypointensities,,,,,,181,1.0,0.8814363143631436,0.8812515397881252,0.00018477457501842043,0.8155333826065534,0.8155333826065534,0.0,0.8176795580110497,0.8176795580110497,0.0,0.7975460122699386,0.7975460122699386,0.0,0.00019526597915104081,7.329508662223816e-07,-7.533788351722844e-05,0,0.0,0.005882983751229836,0.00042316825870355047,0.0013542853872091072,,,,0.0008032088128730117
Heldout,85,Optic-Chiasm,,,,,,362,4.0,0.9060267307218526,0.9068120226656812,-0.0007852919438285921,0.8276361172702636,0.8276361172702636,0.0,0.8314917127071824,0.8314917127071824,0.0,0.8087774294670846,0.8087774294670846,0.0,0.002272177083695626,3.923662006855011e-06,0.0003964257611795354,2,0.0055248618784530384,0.047516397963414995,0.003442949879041729,0.01082747614844728,,,,0.005482321206754067
