Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Final GE branch panel,Final GE branch panel size,Final GE branch selection rule,Selected probe panel label,Selected probe panel size,Approximate unique gene symbols in selected panel
CBS,11744835_s_at,LOC875,0.606572981196186,6.16579139072848,3.53056864442341,0.0004797804391626,0.452674834052308,-0.238764378064205,52,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CREB5,11722970_a_at,LOC9586,0.228780875751664,9.49361258278146,3.5207356527577,0.0004971863761894,0.452674834052308,-0.26885012168701,53,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
ODC1,11752515_a_at,LOC4953,-0.235098762914644,8.44002317880795,-3.50786399997171,0.0005208663250225,0.452674834052308,-0.308117404029779,54,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SRPK1,11718852_a_at,LOC6732,0.194180210623359,9.08964238410596,3.50739223530985,0.0005217539800496,0.452674834052308,-0.309554111430431,55,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
GCM1,11732725_at,LOC8521,0.299701038420017,4.88026158940397,3.50617002778266,0.0005240602355642,0.452674834052308,-0.313275389087705,56,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
BCL6,11759322_at,LOC604,0.286047327315657,7.47554635761589,3.49421291798168,0.0005471319586297,0.452674834052308,-0.349618910960921,57,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
INTS6,11746393_x_at,LOC26512,0.136018793197824,4.87828476821192,3.49389972816742,0.000547748861987,0.452674834052308,-0.350569323539603,58,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
WLS,11733513_a_at,LOC79971,0.33254333074624,8.12099337748344,3.47835382702028,0.0005792016754398,0.452674834052308,-0.397647352052229,59,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
STX3,11747878_a_at,LOC6809,0.234561645203453,5.36835099337748,3.47661230876923,0.0005828285396887,0.452674834052308,-0.402909273739941,60,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
DBP,11731661_s_at,LOC1628,-0.13746070133857,4.38956291390728,-3.47083051911916,0.0005950225802203,0.452674834052308,-0.420361409446931,61,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
MAPK14,11742487_a_at,LOC1432,0.212274279082925,6.64167880794702,3.46276852246335,0.0006124244831183,0.452674834052308,-0.44465189103589,62,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CKB,11753004_a_at,LOC1152,-0.234446929271754,4.5306059602649,-3.45905633961469,0.0006205962864336,0.452674834052308,-0.4558191648994,63,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
SEPHS2,11743803_s_at,LOC22928,0.103444574801532,7.60044701986755,3.45287379918032,0.0006344328994601,0.452674834052308,-0.474393610278891,64,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
NFIL3,11743010_at,LOC4783,0.199214084915851,7.79095033112583,3.45041390359332,0.0006400179633939,0.452674834052308,-0.481775505604377,65,True,Higher in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
CDKN1C,11763717_a_at,LOC1028,-0.269989924975722,8.26780463576159,-3.44997227366042,0.0006410255146152,0.452674834052308,-0.48310028162427,66,True,Lower in AD,Top 2000,2000,Top 2000 limma-ranked probes by raw P value,Top 2000 limma-ranked probes,2000,1538
