Seed,Gene panel label,Selection rule,Actual probes used,Split,"Subjects, n",Best epoch,GFV dimension,Dropout,Learning rate,Weight decay,Label smoothing,Accuracy,Balanced accuracy,AUC,Precision,Recall / AD sensitivity,CN specificity,F1 score,TN,FP,FN,TP
777,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,val,45,70,128,0.6,0.0001,0.005,0.05,0.9333333333333333,0.8846153846153846,0.9903846153846154,1.0,0.7692307692307693,1.0,0.8695652173913043,32,0,3,10
777,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,test,46,70,128,0.6,0.0001,0.005,0.05,0.9347826086956522,0.9129464285714286,0.9732142857142857,0.9230769230769231,0.8571428571428571,0.96875,0.8888888888888888,31,1,2,12
777,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,train,211,45,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
777,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,val,45,45,128,0.6,0.0001,0.005,0.05,0.9111111111111111,0.8689903846153846,0.9759615384615384,0.9090909090909091,0.7692307692307693,0.96875,0.8333333333333334,31,1,3,10
777,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,test,46,45,128,0.6,0.0001,0.005,0.05,0.9347826086956522,0.9330357142857143,0.9821428571428572,0.8666666666666667,0.9285714285714286,0.9375,0.896551724137931,30,2,1,13
1001,Top 50,Top 50 limma-ranked probes by raw P value,50,train,211,259,128,0.6,0.0001,0.005,0.05,0.8436018957345972,0.8566066066066066,0.9316816816816816,0.6829268292682927,0.8888888888888888,0.8243243243243243,0.7724137931034483,122,26,7,56
1001,Top 50,Top 50 limma-ranked probes by raw P value,50,val,45,259,128,0.6,0.0001,0.005,0.05,0.7555555555555555,0.7596153846153846,0.8509615384615385,0.5555555555555556,0.7692307692307693,0.75,0.6451612903225806,24,8,3,10
1001,Top 50,Top 50 limma-ranked probes by raw P value,50,test,46,259,128,0.6,0.0001,0.005,0.05,0.7391304347826086,0.7321428571428572,0.7678571428571428,0.5555555555555556,0.7142857142857143,0.75,0.625,24,8,4,10
1001,Top 100,Top 100 limma-ranked probes by raw P value,100,train,211,170,128,0.6,0.0001,0.005,0.05,0.8909952606635071,0.9177391677391677,0.9680394680394679,0.7380952380952381,0.9841269841269841,0.8513513513513513,0.8435374149659864,126,22,1,62
1001,Top 100,Top 100 limma-ranked probes by raw P value,100,val,45,170,128,0.6,0.0001,0.005,0.05,0.6888888888888889,0.6442307692307692,0.8004807692307693,0.4666666666666667,0.5384615384615384,0.75,0.5,24,8,6,7
1001,Top 100,Top 100 limma-ranked probes by raw P value,100,test,46,170,128,0.6,0.0001,0.005,0.05,0.782608695652174,0.7433035714285714,0.8303571428571428,0.6428571428571429,0.6428571428571429,0.84375,0.6428571428571429,27,5,5,9
1001,Top 250,Top 250 limma-ranked probes by raw P value,250,train,211,168,128,0.6,0.0001,0.005,0.05,0.9478672985781991,0.9582797082797083,0.9981767481767482,0.8611111111111112,0.9841269841269841,0.9324324324324325,0.9185185185185185,138,10,1,62
1001,Top 250,Top 250 limma-ranked probes by raw P value,250,val,45,168,128,0.6,0.0001,0.005,0.05,0.7777777777777778,0.7524038461538461,0.8798076923076923,0.6,0.6923076923076923,0.8125,0.6428571428571429,26,6,4,9
1001,Top 250,Top 250 limma-ranked probes by raw P value,250,test,46,168,128,0.6,0.0001,0.005,0.05,0.8695652173913043,0.8459821428571428,0.9129464285714286,0.7857142857142857,0.7857142857142857,0.90625,0.7857142857142857,29,3,3,11
1001,Top 500,Top 500 limma-ranked probes by raw P value,500,train,211,89,128,0.6,0.0001,0.005,0.05,0.981042654028436,0.9864864864864865,0.9998927498927499,0.9402985074626866,1.0,0.972972972972973,0.9692307692307692,144,4,0,63
1001,Top 500,Top 500 limma-ranked probes by raw P value,500,val,45,89,128,0.6,0.0001,0.005,0.05,0.8444444444444444,0.7992788461538461,0.8774038461538463,0.75,0.6923076923076923,0.90625,0.72,29,3,4,9
1001,Top 500,Top 500 limma-ranked probes by raw P value,500,test,46,89,128,0.6,0.0001,0.005,0.05,0.8043478260869565,0.7790178571428572,0.90625,0.6666666666666666,0.7142857142857143,0.84375,0.6896551724137931,27,5,4,10
1001,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,train,211,88,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
1001,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,val,45,88,128,0.6,0.0001,0.005,0.05,0.8666666666666667,0.8377403846153846,0.9278846153846154,0.7692307692307693,0.7692307692307693,0.90625,0.7692307692307693,29,3,3,10
1001,Top 1000,Top 1000 limma-ranked probes by raw P value,1000,test,46,88,128,0.6,0.0001,0.005,0.05,0.8260869565217391,0.7745535714285714,0.9486607142857143,0.75,0.6428571428571429,0.90625,0.6923076923076923,29,3,5,9
1001,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,train,211,83,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
1001,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,val,45,83,128,0.6,0.0001,0.005,0.05,0.9333333333333333,0.9074519230769231,0.9807692307692307,0.9166666666666666,0.8461538461538461,0.96875,0.88,31,1,2,11
1001,Top 2000,Top 2000 limma-ranked probes by raw P value,2000,test,46,83,128,0.6,0.0001,0.005,0.05,0.8260869565217391,0.7544642857142857,0.9017857142857143,0.8,0.5714285714285714,0.9375,0.6666666666666666,30,2,6,8
1001,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,train,211,25,128,0.6,0.0001,0.005,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,0,0,63
1001,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,val,45,25,128,0.6,0.0001,0.005,0.05,0.8888888888888888,0.8762019230769231,0.9735576923076923,0.7857142857142857,0.8461538461538461,0.90625,0.8148148148148148,29,3,2,11
1001,All nominal P < 0.05,All nominally significant limma-ranked probes with raw P < 0.05,3013,test,46,25,128,0.6,0.0001,0.005,0.05,0.7608695652173914,0.7276785714285714,0.8861607142857143,0.6,0.6428571428571429,0.8125,0.6206896551724138,26,6,5,9
