probe_id,locus_link,gene_symbol
11715603_s_at,LOC6678,SPARC
11715604_x_at,LOC6678,SPARC
11715605_s_at,LOC83443,SF3B5
11715606_a_at,LOC8848,TSC22D1
11715607_at,LOC5479,PPIB
11715608_x_at,LOC5479,PPIB
11715609_a_at,LOC51606,ATP6V1H
11715610_a_at,LOC10552,ARPC1A
11715611_a_at,LOC5351,PLOD1
11715612_s_at,LOC51075,TMX2
11715613_a_at,LOC7832,BTG2
11715614_at,LOC7832,BTG2
11715615_at,LOC7832,BTG2
11715616_a_at,LOC4706,NDUFAB1
11715617_a_at,LOC55819,RNF130
11715618_a_at,LOC51150,SDF4
11715619_x_at,LOC51150,SDF4
11715620_a_at,LOC1410,CRYAB
11715621_at,LOC51506,UFC1
11715622_a_at,LOC55905,RNF114
11715623_s_at,LOC55905,RNF114
11715624_at,LOC6451,SH3BGRL
11715625_a_at,LOC6451,SH3BGRL
11715626_a_at,LOC6135,RPL11
11715627_x_at,LOC217,ALDH2
11715628_a_at,LOC2244,FGB
11715629_a_at,LOC9741,LAPTM4A
11715630_s_at,LOC9741,LAPTM4A
11715631_x_at,LOC9741,LAPTM4A
11715632_at,LOC84232,MAF1
11715633_x_at,LOC84232,MAF1
11715634_s_at,LOC51522,TMEM14C
11715635_x_at,LOC51522,TMEM14C
11715636_a_at,LOC5054,SERPINE1
11715637_a_at,LOC7360,UGP2
11715638_s_at,LOC79888,LPCAT1
11715639_a_at,LOC7267,TTC3
11715640_a_at,LOC7267,TTC3
11715641_a_at,LOC7267,TTC3
11715642_s_at,LOC7267,TTC3
11715643_a_at,LOC10159,ATP6AP2
11715644_s_at,LOC10159,ATP6AP2
11715645_s_at,LOC51493,RTCB
11715646_a_at,LOC51094,ADIPOR1
11715647_a_at,LOC51094,ADIPOR1
11715648_x_at,LOC51094,ADIPOR1
11715649_s_at,LOC7296,TXNRD1
11715650_a_at,LOC7296,TXNRD1
11715651_s_at,LOC11167,FSTL1
11715652_a_at,LOC5118,PCOLCE
11715653_a_at,LOC51507,RTFDC1
11715654_x_at,LOC51507,RTFDC1
11715655_s_at,LOC7416,VDAC1
11715656_at,LOC9377,COX5A
11715657_a_at,,GLB1 || TMPPE
11715658_a_at,LOC27173,SLC39A1
11715659_s_at,LOC54206,ERRFI1
11715660_a_at,LOC6185,RPN2
11715661_a_at,,TMEM189-UBE2V1 || UBE2V1
11715662_x_at,,TMEM189-UBE2V1 || UBE2V1
11715663_a_at,LOC56910,STARD7
11715664_a_at,LOC56910,STARD7
11715665_a_at,LOC5696,PSMB8
11715666_a_at,LOC7170,TPM3
11715667_s_at,LOC7170,TPM3
11715668_a_at,LOC5686,PSMA5
11715669_s_at,LOC1639,DCTN1
11715670_a_at,LOC8519,IFITM1
11715671_x_at,LOC8519,IFITM1
11715672_a_at,LOC51398,WDR83OS
11715673_x_at,LOC3726,JUNB
11715674_s_at,LOC900,CCNG1
11715675_a_at,LOC900,CCNG1
11715676_s_at,LOC23385,NCSTN
11715677_x_at,LOC23385,NCSTN
11715678_s_at,LOC4676,NAP1L4
11715679_s_at,LOC5621,PRNP
11715680_s_at,LOC113246,C12ORF57
11715681_s_at,LOC8804,CREG1
11715682_a_at,LOC8804,CREG1
11715683_a_at,LOC3855,KRT7
11715684_a_at,LOC5464,PPA1
11715685_s_at,LOC10092,ARPC5
11715686_s_at,LOC10092,ARPC5
11715687_x_at,LOC10092,ARPC5
11715688_x_at,LOC440387,CTRB2
11715689_a_at,LOC8763,CD164
11715690_x_at,LOC8763,CD164
11715691_s_at,LOC7538,ZFP36
11715692_a_at,LOC1153,CIRBP
11715693_s_at,LOC1153,CIRBP
11715694_at,LOC1349,COX7B
11715695_x_at,LOC1349,COX7B
11715696_a_at,LOC9221,NOLC1
11715697_a_at,LOC9221,NOLC1
11715698_a_at,LOC9221,NOLC1
11715699_s_at,LOC9919,SEC16A
11715700_s_at,LOC11180,WDR6
11715701_s_at,LOC5217,PFN2
11715702_at,LOC3678,ITGA5
11715703_s_at,LOC3678,ITGA5
11715704_x_at,LOC3678,ITGA5
11715705_a_at,LOC10724,MGEA5
11715706_x_at,LOC10724,MGEA5
11715707_a_at,LOC10724,MGEA5
11715708_s_at,LOC4151,MB
11715709_x_at,LOC4151,MB
11715710_s_at,LOC1075,CTSC
11715711_a_at,LOC8644,AKR1C3
11715712_a_at,LOC4898,NRD1
11715713_a_at,LOC81552,VOPP1
11715714_s_at,LOC81552,VOPP1
11715715_x_at,LOC81552,VOPP1
11715716_at,LOC4478,MSN
11715717_s_at,LOC4478,MSN
11715718_a_at,LOC10467,ZNHIT1
11715719_x_at,LOC11140,CDC37
11715720_s_at,LOC25912,C1ORF43
11715721_a_at,LOC51280,GOLM1
11715722_a_at,LOC51280,GOLM1
11715723_s_at,LOC9445,ITM2B
11715724_s_at,LOC9445,ITM2B
11715725_x_at,LOC9445,ITM2B
11715726_a_at,LOC4947,OAZ2
11715727_s_at,LOC4947,OAZ2
11715728_a_at,LOC3688,ITGB1
11715729_s_at,LOC1588,CYP19A1
11715730_at,LOC1588,CYP19A1
11715731_at,LOC1588,CYP19A1
11715732_at,LOC5691,PSMB3
11715733_a_at,LOC8508,NIPSNAP1
11715734_a_at,LOC8508,NIPSNAP1
11715735_a_at,LOC114908,TMEM123
11715736_s_at,LOC22794,CASC3
11715737_at,LOC22794,CASC3
11715738_s_at,LOC8724,SNX3
11715739_s_at,LOC8613,PPAP2B
11715740_a_at,LOC55920,RCC2
11715741_at,LOC55920,RCC2
11715742_s_at,LOC55920,RCC2
11715743_x_at,LOC55920,RCC2
11715744_a_at,LOC522,ATP5J
11715745_a_at,LOC57179,KIAA1191
