Gene symbol,Probe ID / feature ID,LocusLink,limma logFC AD vs CN,Average expression,Moderated t statistic,Raw P value,FDR-adjusted P value,B statistic,Rank by raw P value,Selected for 464-gene panel,Direction in AD,Selected for final GE branch panel,Final GE branch panel,Final GE branch panel size
PPM1B,11719714_at,LOC5495,0.0200784553001732,1.97381456953642,0.668966552055761,0.504031247447838,0.977815670604323,-5.56581359703097,25438,False,Higher in AD,False,,
APPL1,11722736_s_at,LOC26060,-0.0387270638425951,7.44177483443709,-0.668945940799274,0.504044377227768,0.977815670604323,-5.56582608746016,25439,False,Lower in AD,False,,
SAMD4A,11745208_a_at,LOC23034,-0.0402004807288591,5.08133443708609,-0.668939731152356,0.504048332931792,0.977815670604323,-5.56582985043335,25440,False,Lower in AD,False,,
HPCAL4,11729105_a_at,LOC51440,0.0216211787102926,2.78754635761589,0.668921606321766,0.504059879006936,0.977815670604323,-5.56584083366894,25441,False,Higher in AD,False,,
DPEP1,11763828_a_at,LOC1800,0.0197419630664786,2.42018874172185,0.668916886349956,0.504062885797321,0.977815670604323,-5.56584369381593,25442,False,Higher in AD,False,,
UBE2T,11729158_at,LOC29089,-0.0381785033617047,4.7303940397351,-0.668868256683253,0.504093865183212,0.977815670604323,-5.56587316061637,25443,False,Lower in AD,False,,
TMEM106C,11739200_x_at,LOC79022,-0.0344960311593176,5.56025496688742,-0.668854725413754,0.504102485418111,0.977815670604323,-5.56588135941309,25444,False,Lower in AD,False,,
CBX5,11716279_x_at,LOC23468,-0.0296852666528262,7.71292715231788,-0.668843986244424,0.504109326972412,0.977815670604323,-5.56588786631725,25445,False,Lower in AD,False,,
KLK2,11729587_x_at,LOC3817,-0.0225780653099659,2.58105298013245,-0.668799377603743,0.504137746125463,0.977815670604323,-5.56591489375022,25446,False,Lower in AD,False,,
TSHR,11733397_at,LOC7253,-0.0156141992205156,2.18784105960265,-0.668791009095671,0.504143077606744,0.977815670604323,-5.56591996385235,25447,False,Lower in AD,False,,
TCF7L2,11747829_x_at,LOC6934,-0.0338630608911318,2.86016225165563,-0.66875475270436,0.504166176486466,0.977815670604323,-5.56594192923629,25448,False,Lower in AD,False,,
FUT9,11758961_at,,-0.0122878471901998,1.93959933774834,-0.668637882932016,0.504240637821208,0.977815670604323,-5.56601272493327,25449,False,Lower in AD,False,,
UBE3C,11746615_a_at,LOC9690,0.0372054477589552,2.89919205298013,0.668637006583655,0.504241196191786,0.977815670604323,-5.56601325574845,25450,False,Higher in AD,False,,
LGMN,11752744_a_at,LOC5641,0.0211138880653964,2.46974503311258,0.668634477247513,0.504242807775211,0.977815670604323,-5.56601478779509,25451,False,Higher in AD,False,,
MECP2,11722683_a_at,LOC4204,0.0283264351251679,7.87084105960265,0.668536015269171,0.504305545604688,0.977815670604323,-5.5660744228074,25452,False,Higher in AD,False,,
PPA1,11715684_a_at,LOC5464,-0.0332115224245865,8.07289072847682,-0.668513297435878,0.504320021501041,0.977815670604323,-5.56608818096986,25453,False,Lower in AD,False,,
RERG,11721700_a_at,LOC85004,-0.0099496755798705,1.80977152317881,-0.668489443593789,0.504335221503899,0.977815670604323,-5.56610262660979,25454,False,Lower in AD,False,,
BEST4,11730091_at,LOC266675,-0.0195247283556621,2.60456622516556,-0.668480848532667,0.504340698456949,0.977815670604323,-5.56610783156401,25455,False,Lower in AD,False,,
CDK5R2,11728912_at,LOC8941,0.0170984520027893,3.21730132450331,0.66847439038052,0.504344813747568,0.977815670604323,-5.56611174241564,25456,False,Higher in AD,False,,
SYT15,11750252_a_at,LOC83849,0.0177555415810215,3.23132450331126,0.668462060551134,0.504352670662249,0.977815670604323,-5.5661192088637,25457,False,Higher in AD,False,,
SLC35E1,11746785_a_at,LOC79939,0.0126217723745337,2.16070529801324,0.668460473272474,0.504353682125647,0.977815670604323,-5.56612017004578,25458,False,Higher in AD,False,,
MEF2BNB,11722744_a_at,LOC729991,0.028417362750651,3.77700331125828,0.668458915305631,0.504354674911687,0.977815670604323,-5.56612111347575,25459,False,Higher in AD,False,,
PLEKHB2,11753027_a_at,LOC55041,0.0221707056915029,7.53350331125828,0.668441145521876,0.504365998456542,0.977815670604323,-5.56613187384917,25460,False,Higher in AD,False,,
NOL11,11722996_a_at,LOC25926,0.0303383046730237,7.21154635761589,0.668393285929639,0.504396496978979,0.977815670604323,-5.56616085348636,25461,False,Higher in AD,False,,
C17ORF70,11728268_a_at,LOC80233,0.0231090278361132,3.64787748344371,0.668353273739118,0.504421995495289,0.977815670604323,-5.56618507982721,25462,False,Higher in AD,False,,
PPP2R4,11747565_a_at,LOC5524,0.0249908958149574,3.42426490066225,0.668338699385727,0.504431283444148,0.977815670604323,-5.56619390386001,25463,False,Higher in AD,False,,
HINT1,11741813_s_at,LOC3094,-0.0369730206167072,9.80303311258278,-0.668335069593539,0.504433596653439,0.977815670604323,-5.56619610148552,25464,False,Lower in AD,False,,
C8ORF59,11751867_a_at,LOC401466,-0.0463888728258083,5.81782119205298,-0.668329065512843,0.504437422971676,0.977815670604323,-5.56619973657684,25465,False,Lower in AD,False,,
LOC80154,11762466_x_at,,0.0456746352870003,5.3201821192053,0.66827926927582,0.504469158023025,0.977815670604323,-5.5662298837959,25466,False,Higher in AD,False,,
PDILT,11734283_at,LOC204474,-0.0143107339477886,2.51411589403974,-0.668241181002146,0.504493432324749,0.977815670604323,-5.56625294136703,25467,False,Lower in AD,False,,
MAGT1,11753222_s_at,LOC84061,0.0225654646804387,7.82841059602649,0.668216947508079,0.504508877063036,0.977815670604323,-5.56626761096186,25468,False,Higher in AD,False,,
AMOTL2,11733006_at,LOC51421,0.0149750172575281,2.7686059602649,0.668088694726065,0.504590620609737,0.977815670604323,-5.56634523915599,25469,False,Higher in AD,False,,
HLA-DRB1,11759642_x_at,,-0.0166046864771641,11.4188079470199,-0.668051199444754,0.504614520031296,0.977815670604323,-5.56636793130413,25470,False,Lower in AD,False,,
ZBTB2,11727340_a_at,LOC57621,0.0232060236434943,2.78509933774834,0.66802496630277,0.504631241343098,0.977815670604323,-5.56638380684961,25471,False,Higher in AD,False,,
CSNK1G3,11752733_a_at,LOC1456,0.0239713198455075,2.86582119205298,0.668014293106836,0.504638044647153,0.977815670604323,-5.56639026578397,25472,False,Higher in AD,False,,
NEDD1,11741727_a_at,LOC121441,-0.0302636825405679,3.5210761589404,-0.668011453069719,0.504639854950602,0.977815670604323,-5.56639198442833,25473,False,Lower in AD,False,,
9-Sep,11737859_a_at,LOC10801,0.0187236148714115,2.6742880794702,0.668000229599817,0.504647009076074,0.977815670604323,-5.56639877622383,25474,False,Higher in AD,False,,
ATP6AP2,11747378_a_at,LOC10159,0.0341741598839806,6.82464238410596,0.667998326011065,0.504648222477341,0.977815670604323,-5.56639992815448,25475,False,Higher in AD,False,,
TBX3,11721429_a_at,LOC6926,0.015255556369391,2.17116887417219,0.667987495199616,0.504655126372062,0.977815670604323,-5.56640648220931,25476,False,Higher in AD,False,,
VCAM1,11719675_a_at,LOC7412,-0.013796260795957,2.13883112582781,-0.667935744905174,0.50468811430355,0.977815670604323,-5.566437796431,25477,False,Lower in AD,False,,
HIST1H2AH,11736918_x_at,LOC85235,-0.014564970647055,2.34432450331126,-0.667929924679324,0.504691824444952,0.977815670604323,-5.56644131811171,25478,False,Lower in AD,False,,
DVL2,11749611_a_at,LOC1856,-0.0176584810855799,2.89019205298013,-0.667910159743037,0.50470442384196,0.977815670604323,-5.56645327717789,25479,False,Lower in AD,False,,
SLC1A7,11761532_at,,-0.0123052190600285,2.12224834437086,-0.667888629630314,0.504718148661597,0.977815670604323,-5.56646630388868,25480,False,Lower in AD,False,,
OR4A5,11742346_at,LOC81318,0.0130198752835877,2.24359602649007,0.667791126012876,0.50478030685245,0.977815670604323,-5.56652529283263,25481,False,Higher in AD,False,,
MSH3,11731033_at,LOC4437,0.0380389428809372,4.14811258278146,0.667775679329029,0.504790154427616,0.977815670604323,-5.56653463717072,25482,False,Higher in AD,False,,
SREK1IP1,11752424_a_at,LOC285672,-0.0172681270580886,2.38628476821192,-0.667744956618094,0.504809741083281,0.977815670604323,-5.56655322196914,25483,False,Lower in AD,False,,
SDF4,11715618_a_at,LOC51150,0.0216273849824895,7.06929470198676,0.667743329545671,0.504810778402293,0.977815670604323,-5.56655420619488,25484,False,Higher in AD,False,,
,11762723_at,,-0.0169290750420679,2.62792715231788,-0.667692831096511,0.504842973597743,0.977815670604323,-5.56658475181734,25485,False,Lower in AD,False,,
TBATA,11740826_x_at,LOC219793,-0.0181233137035484,2.54116556291391,-0.667682826200019,0.504849352330591,0.977815670604323,-5.56659080332969,25486,False,Lower in AD,False,,
PIGP,11760020_x_at,LOC51227,-0.033267005771161,7.14675165562914,-0.667673386000271,0.504855371073903,0.977815670604323,-5.56659651319952,25487,False,Lower in AD,False,,
KLK4,11753683_x_at,LOC9622,-0.0199458381118324,3.07159271523179,-0.667668963771713,0.504858190546231,0.977815670604323,-5.56659918794037,25488,False,Lower in AD,False,,
TFB2M,11722841_s_at,LOC64216,-0.0476964631537658,5.90418874172185,-0.66759324699126,0.50490646645196,0.977815670604323,-5.56664498174089,25489,False,Lower in AD,False,,
DCN,11757283_s_at,LOC1634,0.0138041455449866,2.12983774834437,0.667511392664083,0.504958658317328,0.977815670604323,-5.56669448173026,25490,False,Higher in AD,False,,
ZZEF1,11716881_a_at,LOC23140,0.0237954074748017,7.82249337748344,0.667482018651606,0.504977388439211,0.977815670604323,-5.56671224368145,25491,False,Higher in AD,False,,
PLCH1,11728446_a_at,LOC23007,0.0255311226172884,2.10548675496689,0.667428192808396,0.505011711044959,0.977815670604323,-5.56674478920479,25492,False,Higher in AD,False,,
SYK,11719718_a_at,LOC6850,0.023484088627162,9.68703311258278,0.667397809052317,0.50503108610682,0.977815670604323,-5.56676315943384,25493,False,Higher in AD,False,,
RSAD1,11760903_at,,0.0241346346572994,3.01267218543046,0.667363368058781,0.505053048856925,0.977815670604323,-5.56678398168871,25494,False,Higher in AD,False,,
PRKAB1,11716217_a_at,LOC5564,-0.0270543611471103,4.99070860927152,-0.667337885095885,0.505069299467037,0.977815670604323,-5.56679938742901,25495,False,Lower in AD,False,,
GHRHR,11742326_a_at,LOC2692,0.0148926981289334,2.2053642384106,0.667328843390857,0.505075065473116,0.977815670604323,-5.56680485345627,25496,False,Higher in AD,False,,
OR6C6,11742577_at,LOC283365,-0.0127387997481255,2.22142052980132,-0.667314494039972,0.50508421630154,0.977815670604323,-5.56681352798964,25497,False,Lower in AD,False,,
FBXO22,11722203_s_at,LOC26263,0.0607625609522762,5.28808278145695,0.667290499555328,0.505099518194159,0.977815670604323,-5.56682803282682,25498,False,Higher in AD,False,,
DOLK,11724825_a_at,LOC22845,-0.0244692988192003,6.22013245033113,-0.667204401154372,0.505154427352983,0.977815670604323,-5.56688007564502,25499,False,Lower in AD,False,,
DDX11 || LOC642846,11727648_s_at,,-0.0220833063568706,3.9947417218543,-0.667151911831805,0.505187903910262,0.977815670604323,-5.56691179992184,25500,False,Lower in AD,False,,
COL4A6,11759994_a_at,,0.0173674851746169,2.3432880794702,0.667131070770294,0.505201196215317,0.977815670604323,-5.56692439546229,25501,False,Higher in AD,False,,
UGGT1,11729794_at,LOC56886,0.030488286321994,6.18830132450331,0.66708198697881,0.505232502297073,0.977815670604323,-5.56695405827904,25502,False,Higher in AD,False,,
ACTN4,11753902_a_at,LOC81,0.028036897106742,9.35014569536424,0.667003413855227,0.505282619076701,0.977815670604323,-5.56700153786082,25503,False,Higher in AD,False,,
CD37,11717858_a_at,LOC951,-0.0173235231946686,10.4351655629139,-0.66699130038981,0.505290345717118,0.977815670604323,-5.56700885719949,25504,False,Lower in AD,False,,
HAS2,11740311_at,LOC3037,-0.0143760353937429,2.42734105960265,-0.666985504029202,0.505294042979677,0.977815670604323,-5.56701235949692,25505,False,Lower in AD,False,,
INO80D,11721772_at,LOC54891,0.0423417823641099,8.01337417218543,0.66696491449274,0.50530717632291,0.977815670604323,-5.56702479993384,25506,False,Higher in AD,False,,
TERF1,11732463_x_at,LOC7013,0.0363974329043684,6.25021523178808,0.666948790883475,0.505317461133955,0.977815670604323,-5.56703454173843,25507,False,Higher in AD,False,,
TSIX,11757233_at,LOC9383,-0.0246196357032969,2.50864238410596,-0.66692416325097,0.505333170643601,0.977815670604323,-5.56704942117856,25508,False,Lower in AD,False,,
RTF1,11717357_at,LOC23168,0.0417064230614414,6.71822185430464,0.666921095065249,0.505335127800431,0.977815670604323,-5.56705127486635,25509,False,Higher in AD,False,,
LZTS2,11717074_a_at,LOC84445,0.0233989491566906,2.94819205298013,0.666919840229578,0.505335928245376,0.977815670604323,-5.56705203299062,25510,False,Higher in AD,False,,
BCL11A,11747189_a_at,LOC53335,0.0175875037140045,2.5685761589404,0.666806330972386,0.505408337244104,0.977815670604323,-5.56712060510941,25511,False,Higher in AD,False,,
CLDN10,11739762_a_at,LOC9071,-0.0132039421393897,2.09108609271523,-0.666774251240868,0.505428802308034,0.977815670604323,-5.56713998269914,25512,False,Lower in AD,False,,
FANCD2,11736546_at,LOC2177,-0.0230292208121344,2.57463245033113,-0.666762909137622,0.505436038036749,0.977815670604323,-5.56714683361336,25513,False,Lower in AD,False,,
MOG,11747169_a_at,LOC4340,0.0135480850887353,2.31845033112583,0.666757170721239,0.505439698897542,0.977815670604323,-5.56715029971626,25514,False,Higher in AD,False,,
CWC27,11752849_a_at,LOC10283,0.0330940521815284,6.14580132450331,0.666752887655099,0.505442431317139,0.977815670604323,-5.56715288674299,25515,False,Higher in AD,False,,
LOC100506226,11763985_at,LOC100506226,-0.017447418460088,2.45276821192053,-0.66667189901753,0.505494100200044,0.977815670604323,-5.56720180179835,25516,False,Lower in AD,False,,
MED25,11731378_a_at,LOC81857,0.0480966713817906,8.04420198675497,0.66666907982456,0.50549589883048,0.977815670604323,-5.56720350441179,25517,False,Higher in AD,False,,
