"Gene symbol","Probe ID / feature ID","LocusLink","limma logFC AD vs CN","Average expression","Moderated t statistic","Raw P value","FDR-adjusted P value","B statistic","Rank by raw P value","Selected for 464-gene panel","Direction in AD"
"PFN2","11753675_x_at","LOC5217",0.0969373617103326,2.55843708609272,3.02565348706386,0.0026958018798411,0.53573595401371,-1.68341937245985,244,TRUE,"Higher in AD"
"FAM129C","11750959_x_at","LOC199786",-0.158680673448047,4.46358609271523,-3.02448546269135,0.00270591965559773,0.53573595401371,-1.68652148491318,245,TRUE,"Lower in AD"
"SIPA1L2","11757924_s_at","LOC57568",0.265640663873499,6.89901324503311,3.02355824146234,0.00271397633850565,0.53573595401371,-1.68898325986011,246,TRUE,"Higher in AD"
"MEGF9","11749724_a_at","LOC1955",0.166680476077312,8.28819867549669,3.0233872645484,0.00271546437075794,0.53573595401371,-1.68943712697077,247,TRUE,"Higher in AD"
"NXPH4","11741289_s_at","LOC11247",-0.0847951864193916,3.16029801324503,-3.02329452762122,0.00271627178451428,0.53573595401371,-1.68968329192859,248,TRUE,"Lower in AD"
"PANX2","11728043_at","LOC56666",0.239857574595902,6.58833443708609,3.01990549974844,0.00274593001334843,0.53573595401371,-1.69867443185535,249,TRUE,"Higher in AD"
"MAPK14","11759946_at","",0.213020009511199,7.72134768211921,3.01975812333771,0.0027472264614748,0.53573595401371,-1.69906520963376,250,TRUE,"Higher in AD"
"NT5C2","11722568_at","LOC22978",0.164387748485872,6.72600331125828,3.01804318425944,0.00276235389439828,0.53573595401371,-1.70361116661584,251,TRUE,"Higher in AD"
"FOXD2","11740780_at","LOC2306",0.116787889948487,2.64441721854305,3.0155496303528,0.00278448592812745,0.53573595401371,-1.7102167649638,252,TRUE,"Higher in AD"
"LOC284751","11759953_at","LOC284751",0.167963891201441,3.24859933774834,3.01495409284621,0.0027897957625973,0.53573595401371,-1.71179362987899,253,TRUE,"Higher in AD"
"BCL6","11720745_a_at","LOC604",0.133719939418037,10.4978112582781,3.01345756205679,0.00280317993419526,0.53573595401371,-1.71575485998331,254,TRUE,"Higher in AD"
"JUP","11716343_a_at","LOC3728",-0.30025679568107,6.11529801324503,-3.01302464221296,0.00280706271347493,0.53573595401371,-1.71690043058243,255,TRUE,"Lower in AD"
"TREML4","11735916_a_at","LOC285852",0.498506491768994,3.37999006622517,3.01245199698924,0.0028122062470782,0.53573595401371,-1.71841549888596,256,TRUE,"Higher in AD"
"HBG2","11755537_s_at","LOC3048",-0.37023477296156,11.2676854304636,-3.01178946246845,0.0028181679638406,0.53573595401371,-1.72016805441355,257,TRUE,"Lower in AD"
"STEAP4","11720007_a_at","LOC79689",0.139271902301133,10.4891887417219,3.01175035215592,0.00281852025437084,0.53573595401371,-1.72027149887376,258,TRUE,"Higher in AD"
"LIMK2","11734742_a_at","LOC3985",0.175428801730678,9.27512582781457,3.01121422512179,0.00282335355482839,0.53573595401371,-1.72168939643395,259,TRUE,"Higher in AD"
"CD63","11744260_a_at","LOC967",0.0709636405939538,10.7134867549669,3.01088548336739,0.00282632099311512,0.53573595401371,-1.72255870441867,260,TRUE,"Higher in AD"
"PTPRE","11739767_a_at","LOC5791",0.141344575277827,8.0182417218543,3.00808647480683,0.00285170284580711,0.53573595401371,-1.7299566636222,261,TRUE,"Higher in AD"
"KIF3C","11717811_at","LOC3797",0.190956165624229,4.37854966887417,3.00799919786349,0.0028524976390024,0.53573595401371,-1.73018723868203,262,TRUE,"Higher in AD"
"KIF1B","11748990_a_at","LOC23095",0.215740011554319,5.30404966887417,3.00794338245891,0.00285300603218737,0.53573595401371,-1.73033469290469,263,TRUE,"Higher in AD"
